,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other,Total
Nov-1994,131050,41440,89540,8430,32880,1970,3570,2110,0,311000
Dec-1994,158500,55940,107820,7840,43800,3800,3310,3020,0,384010
Jan-1995,133300,41240,87520,6750,27210,2620,2330,2800,0,303760
Feb-1995,142740,52460,80650,6550,28120,2260,2360,3380,530,319050
Mar-1995,137900,43940,86180,7640,30270,1860,2720,2160,880,313540
Apr-1995,125210,41690,84590,6610,27780,1880,3280,2440,680,294160
May-1995,102460,27730,82140,3260,21640,1010,4240,1530,800,244810
Jun-1995,108050,27780,89720,4010,24790,880,3700,1720,800,261440
Jul-1995,149380,38500,102340,5410,24480,1080,5180,2560,800,329740
Aug-1995,128760,30790,106800,5000,24840,890,5090,1990,720,304900
Sep-1995,118590,31010,81090,5090,24630,1150,4050,2140,830,268570
Oct-1995,143850,38990,91430,6640,30330,1440,5440,2090,460,320660
Nov-1995,145610,47360,97970,8750,33660,2220,3920,2610,820,342930
Dec-1995,176570,58720,120020,8570,46800,4590,2860,3030,1100,422260
Jan-1996,141870,45160,92130,6440,24250,1830,2850,2200,490,317210
Feb-1996,171700,55570,108830,7980,39640,2690,2470,3210,600,392690
Mar-1996,161280,51670,105400,7970,31010,2120,2660,2910,520,365550
Apr-1996,149170,42580,95560,6630,32270,1420,2440,2660,470,333200
May-1996,108580,33260,84920,5500,22550,880,3530,1730,570,261510
Jun-1996,124570,37570,106150,4520,26720,860,4540,1910,90,306930
Jul-1996,145140,44630,123080,6540,28780,890,6090,2980,110,358230
Aug-1996,138650,34250,114960,5240,28950,890,4140,1820,330,329240
Sep-1996,126370,36340,105140,5480,27540,910,4360,2810,200,309160
Oct-1996,150010,45360,101760,8750,34460,1390,5590,2760,290,350360
Nov-1996,162720,52770,105530,7950,37270,2100,4430,2360,420,375570
Dec-1996,195580,63930,136260,10410,49430,2520,3480,2780,790,465180
Jan-1997,149990,50180,97650,7880,29630,2820,2460,2220,60,342890
Feb-1997,165760,66070,114790,8750,39350,3770,5050,3620,800,407960
Mar-1997,166680,55990,113940,8730,35670,2280,3920,2990,700,390900
Apr-1997,133760,45230,100650,6170,33000,1600,2830,2420,240,325900
May-1997,123190,34860,94510,4590,25000,770,4390,1680,110,289100
Jun-1997,125130,38440,104980,4270,28530,870,3980,1620,340,308180
Jul-1997,153290,64890,130500,7000,30820,1740,5590,3020,520,397360
Aug-1997,130430,38770,117370,7470,26780,1230,5030,2830,540,330430
Sep-1997,134300,41430,109140,6060,31640,870,5250,2150,90,330940
Oct-1997,149050,49080,112060,8630,37810,1700,5290,2730,120,366480
Nov-1997,156030,53540,112660,9140,37840,2090,5140,2530,500,379460
Dec-1997,182330,68380,123150,12970,49370,4440,3750,3490,410,448280
Jan-1998,144010,51310,99540,7580,34480,3070,3200,2810,220,346230
Feb-1998,152600,59930,87660,9560,32550,4790,3240,3150,130,353610
Mar-1998,142460,55750,90620,8060,33270,2430,2590,3080,290,338560
Apr-1998,145130,48300,100920,7680,32150,1080,2620,2810,380,341080
May-1998,114700,38420,90830,4930,28270,960,3520,1590,170,283400
Jun-1998,117010,40240,108740,3650,27400,1000,3630,2020,50,304190
Jul-1998,152430,56030,117250,5430,31070,550,6020,2360,80,372300
Aug-1998,134250,37190,109970,6130,27450,990,5110,1630,80,323680
Sep-1998,130130,48670,100840,5640,28810,900,5580,2530,60,323860
Oct-1998,142370,56360,103140,6980,35710,1840,5610,1670,60,354750
Nov-1998,150000,59560,101040,9310,38800,1930,3780,2420,40,367910
Dec-1998,185430,76160,122590,13180,47400,3880,4380,3230,20,457640
Jan-1999,143420,56450,99240,8660,33950,2840,3400,2170,70,350980
Feb-1999,168570,65440,101990,10360,41510,2710,4010,2970,70,398570
Mar-1999,164200,63520,104610,8530,38090,2310,3510,3090,70,389020
Apr-1999,143260,47940,95870,7190,32380,1420,2810,2360,110,334130
May-1999,118190,40910,96570,6670,27520,1270,4260,1850,60,298130
Jun-1999,118770,43700,110800,6750,28140,850,4440,2400,200,317060
Jul-1999,154400,53990,125830,8550,33110,1060,7990,3530,20,388460
Aug-1999,146360,42860,118290,7090,33000,1020,5150,1850,0,355610
Sep-1999,141040,45410,112130,7780,36070,1300,6380,2950,70,353130
Oct-1999,153580,64960,114680,11860,40540,1260,7370,2700,20,396980
Nov-1999,177560,60860,112260,10380,45770,2180,4580,3040,30,416670
Dec-1999,199780,71350,117590,15770,44350,3330,4930,3450,230,460780
Jan-2000,155900,60170,88620,9740,36980,2880,3270,3240,0,360800
Feb-2000,190020,70240,107660,11400,41690,5620,4660,3280,30,434590
Mar-2000,174210,70440,104280,12370,38910,2400,5990,3160,90,411860
Apr-2000,177090,57450,113620,11710,35310,2110,4740,3530,60,405620
May-2000,137840,44090,95140,6550,27370,1020,4840,2400,100,319350
Jun-2000,137230,44130,115840,9140,30360,950,6490,3710,100,347940
Jul-2000,177050,60560,129700,10230,36640,1240,8530,5000,80,429030
Aug-2000,154200,54180,117080,7250,30580,1480,5240,2590,260,372850
Sep-2000,222370,47200,90230,5880,26930,1150,3660,5430,120,402970
Oct-2000,184950,69020,115220,8620,36480,2900,5780,3440,100,426510
Nov-2000,194410,78130,120840,8660,46240,3020,4910,3030,660,459910
Dec-2000,237720,89380,135500,16660,65620,5900,4280,4660,230,559930
Jan-2001,176100,67650,107960,10460,43130,3110,4480,3540,170,416600
Feb-2001,184340,79620,98480,10270,43180,3990,4870,4350,100,429200
Mar-2001,174370,73280,113590,10480,43670,3500,5740,3740,390,428750
